Results for initial sigma = 0.4, eta_c = 0.05, eta_sigma = 0.05, "mean" method

Neuron center positions							Neuron sizes
0.252	0.008	0.043	0.9	0.674	0.839	0.692	0.806	0.64		0.4
0.047	0.046	0.025	0.029	0.007	0.025	0.019	0.015	0.004		0.418153740941162
0.023	0.036	0.016	0.005	0.005	0.048	0.015	0.047	0.006		0.4112304457070326
0.019	0.025	0.002	0.036	0.012	0.031	0.041	0.003	0.037		0.4180597361854433
0.014	0.031	0.009	0.023	0.048	0.036	0.016	0.022	0.029		0.4226824376406213
0.014	0.016	0.048	0.042	0.012	0.024	0.024	0.024	0.009		0.417185248465869
0.039	0.006	0.017	0.046	0.014	0.049	0.022	0.022	0.013		0.4189324480282618
0.04	0.006	0.028	0.004	0.049	0.008	0.026	0.028	0.038		0.4195624734636552
0.022	0.013	0.024	0.036	0.036	0.034	0.031	0.048	0.008		0.4170101449303444
0.004	0.038	0.007	0.05	0.032	0.041	0.001	0.03	0.026		0.4193587372429102
0.037	0.019	0.007	0.032	0.014	0.032	0.032	0.001	0.02		0.4237774072315087
0.018	0.038	0.042	0.035	0.013	0.031	0.032	0.0	0.042		0.41753076298538877
0.009	0.011	0.008	0.009	0.027	0.033	0.011	0.024	0.05		0.4240429327792329
0.045	0.01	0.029	0.011	0.01	0.021	0.024	0.042	0.015		0.4248523195682962
0.046	0.025	0.042	0.039	0.046	0.018	0.02	0.006	0.003		0.42325370370690324
0.031	0.042	0.041	0.009	0.041	0.015	0.025	0.036	0.01		0.41907394985766533
0.038	0.047	0.014	0.002	0.012	0.042	0.006	0.048	0.025		0.42740927908130855
0.026	0.028	0.029	0.001	0.028	0.006	0.001	0.039	0.043		0.4130576947341814
0.033	0.029	0.033	0.034	0.038	0.012	0.031	0.032	0.021		0.4227014992100511
0.023	0.045	0.011	0.004	0.048	0.009	0.034	0.027	0.036		0.4260009746290835
0.024	0.007	0.016	0.049	0.006	0.017	0.024	0.045	0.008		0.41525305465976914
0.005	0.004	0.029	0.034	0.011	0.039	0.02	0.016	0.049		0.42900319012541066
0.007	0.005	0.023	0.021	0.031	0.034	0.017	0.027	0.026		0.4297158956085701
0.033	0.012	0.047	0.029	0.038	0.017	0.026	0.045	0.026		0.43370167542921056
0.015	0.025	0.03	0.021	0.047	0.009	0.006	0.026	0.011		0.4325687573911772
0.012	0.01	0.026	0.046	0.039	0.014	0.044	0.038	0.021		0.42641074061394807
0.024	0.05	0.042	0.03	0.011	0.028	0.022	0.016	0.035		0.4248041931527917
0.033	0.041	0.011	0.027	0.025	0.027	0.018	0.036	0.044		0.42846282373802447
0.04	0.037	0.009	0.021	0.028	0.033	0.021	0.012	0.021		0.4288760840643755
0.007	0.049	0.011	0.01	0.024	0.022	0.021	0.034	0.042		0.4266976495178889
0.01	0.027	0.048	0.008	0.049	0.007	0.043	0.0	0.021		0.4346853006641008
0.033	0.017	0.037	0.005	0.038	0.046	0.041	0.028	0.033		0.4274028084057269
0.042	0.046	0.047	0.013	0.002	0.005	0.044	0.021	0.008		0.43503549073863773
0.024	0.042	0.013	0.014	0.046	0.022	0.038	0.023	0.018		0.43271646403814307
0.333	0.778	0.261	0.054	0.349	0.437	0.677	0.711	0.09		0.41864451110579504
0.01	0.031	0.035	0.036	0.031	0.026	0.031	0.037	0.04		0.4354758300586519
0.048	0.026	0.032	0.025	0.013	0.035	0.01	0.042	0.048		0.4300265550286059
0.024	0.009	0.004	0.033	0.025	0.027	0.014	0.046	0.008		0.43201243847963444
0.013	0.01	0.012	0.029	0.025	0.008	0.02	0.023	0.044		0.43960846647520746
0.029	0.041	0.036	0.019	0.013	0.041	0.002	0.041	0.048		0.43178129809783955
0.05	0.025	0.017	0.045	0.023	0.016	0.006	0.015	0.029		0.4417480788509982
0.033	0.007	0.038	0.006	0.032	0.008	0.02	0.026	0.017		0.4356526535659578
0.861	0.386	0.799	0.066	0.162	0.311	0.283	0.395	0.927		0.42207842586791294
0.113	0.273	0.102	0.93	0.995	0.303	0.993	0.84	0.99		0.4227181207638272
0.92	0.212	0.885	0.861	0.214	0.567	0.196	0.975	0.367		0.42271812076382725
0.02	0.04	0.022	0.002	0.024	0.022	0.009	0.0	0.027		0.44254010767090735
0.864	0.0	0.558	0.044	0.007	0.035	0.017	0.797	0.181		0.424227518802234
0.022	0.016	0.018	0.04	0.009	0.021	0.014	0.028	0.033		0.4335005248090134
0.026	0.029	0.025	0.013	0.048	0.039	0.027	0.016	0.005		0.4437421325835947
0.715	0.187	0.089	0.803	0.746	0.99	0.808	0.177	0.898		0.4243737827622868
0.888	0.841	0.283	0.602	0.846	0.18	0.872	0.483	0.771		0.42465195295911284
0.01	0.027	0.004	0.021	0.046	0.008	0.044	0.04	0.005		0.44038247894652227
0.218	0.05	0.299	0.827	0.572	0.967	0.101	0.05	0.925		0.4246519529591129
0.271	0.519	0.681	0.227	0.255	0.777	0.776	0.629	0.898		0.4252167276664901
0.201	0.199	0.463	0.139	0.644	0.146	0.081	0.591	0.472		0.4257444145529352
0.235	0.743	0.571	0.72	0.368	0.143	0.15	0.879	0.409		0.4260128392237666
