Results for initial sigma = 0.2, eta_c = 0.05, eta_sigma = 0.05, "mean" method

Neuron center positions			Neuron sizes
0.513	0.025	0.855	0.913	0.575		0.2
0.014	0.017	0.038	0.016	0.031		0.20962368496912712
0.026	0.009	0.02	0.001	0.012		0.20845919611522137
0.018	0.0	0.03	0.003	0.018		0.21117033398370125
0.007	0.032	0.035	0.003	0.022		0.20726984699546586
0.034	0.004	0.014	0.035	0.041		0.21114580935101018
0.007	0.042	0.044	0.047	0.008		0.21390321962794756
0.007	0.006	0.012	0.036	0.049		0.21051839944765474
0.015	0.004	0.036	0.014	0.003		0.21137581299504543
0.023	0.016	0.029	0.024	0.026		0.2097774992484795
0.395	0.985	0.922	0.585	0.268		0.20421149902928945
0.008	0.039	0.024	0.022	0.049		0.20815752862960157
0.039	0.027	0.008	0.015	0.048		0.21155444420795963
0.262	0.819	0.958	0.633	0.957		0.20467533238088859
0.025	0.046	0.02	0.029	0.027		0.21100412669687021
0.037	0.048	0.04	0.009	0.033		0.21557977747904547
0.009	0.031	0.032	0.0	0.04		0.21577492443537175
0.008	0.037	0.025	0.001	0.003		0.21413070818392213
0.045	0.001	0.011	0.048	0.04		0.21175770162092916
0.036	0.037	0.042	0.012	0.011		0.20931806189128085
0.047	0.016	0.037	0.037	0.046		0.21279753500360704
0.013	0.014	0.011	0.03	0.03		0.21496581786765234
0.005	0.021	0.044	0.009	0.048		0.2157742352088006
0.019	0.021	0.021	0.016	0.02		0.21534809718755016
0.027	0.011	0.035	0.002	0.041		0.21333563527963928
0.039	0.015	0.031	0.012	0.028		0.21091159287063993
0.436	0.69	0.983	0.931	0.41		0.20691880968183357
0.905	0.728	0.934	0.106	0.023		0.20691880968183357
0.014	0.028	0.015	0.042	0.018		0.2141967343227194
0.037	0.036	0.553	0.767	0.664		0.20713704396859156
0.008	0.022	0.029	0.013	0.033		0.21611661958095563
0.021	0.034	0.042	0.022	0.025		0.2136227493013681
0.049	0.034	0.019	0.021	0.004		0.21429368087400644
0.008	0.018	0.011	0.006	0.046		0.2106713545180777
0.028	0.016	0.01	0.048	0.003		0.21378627923296573
0.02	0.042	0.0	0.039	0.041		0.21505693696515787
0.028	0.032	0.031	0.03	0.021		0.21670936085613046
0.045	0.05	0.059	0.793	0.813		0.2088399334714393
0.976	0.283	0.161	0.67	0.116		0.2090282660215818
0.019	0.015	0.043	0.036	0.04		0.2141385613425837
0.235	0.321	0.958	0.895	0.374		0.2096295538660245
0.047	0.01	0.011	0.038	0.031		0.2196568232781113
0.816	0.856	0.307	0.206	0.053		0.21003822130061764
0.485	0.999	0.517	0.498	0.511		0.21023472194080264
0.013	0.003	0.029	0.032	0.007		0.21943378366638894
0.034	0.033	0.022	0.049	0.0		0.21762141965518783
0.01	0.031	0.016	0.01	0.048		0.2191982993830503
0.044	0.014	0.036	0.022	0.024		0.21953957143348518
0.0	0.02	0.009	0.007	0.024		0.21415459748458798
0.71	0.157	0.222	0.008	0.985		0.2111243626704276
0.379	0.483	0.953	0.21	0.559		0.2111243626704276
0.025	0.022	0.01	0.038	0.038		0.21585233865569461
0.033	0.033	0.043	0.038	0.049		0.21787891282601693
0.95	0.668	0.724	0.663	0.345		0.21193817375701732
0.02	0.016	0.017	0.013	0.029		0.22146482505775114
0.402	0.349	0.787	0.575	0.671		0.21201825730279128
0.691	0.384	0.441	0.763	0.779		0.21216852888784588
0.894	0.386	0.357	0.202	0.793		0.21216852888784588
0.275	0.17	0.103	0.333	0.252		0.21233140074569
